Client_Number,Report_Number,RX_Type,Data_Date,Category,Product_Group,Bucket01,Bucket24,Bucket25,Prescriber_Name,Prescriber_Address,Prescriber_ZIP,SRA1_IMS_Doctor#,SRA2_Specialty
C204,R4675,N,20250103,2,171,15,0,15,Jeffrey Norman,"2046 Steve River, Philadelphia, PA, 19103",19103,ID00064,NEP
C772,R5780,T,20250313,1,172,0,14,14,Luis Lozano,"59703 David Ford Apt. 715, Los Angeles, CA, 90001",90001,ID00131,END
C705,R8063,N,20250125,3,171,0,0,0,Tracey Powell,"3589 Timothy Harbor Suite 446, Los Angeles, CA, 90001",90001,ID00125,NEP
C679,R4027,T,20250324,3,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C793,R4387,N,20250418,1,171,11,0,11,Dwayne Jones,"111 Vance Passage, Los Angeles, CA, 90001",90001,ID00054,END
C973,R6571,T,20250214,3,172,0,24,24,Alejandro Gould,"48615 Craig Tunnel, New York, NY, 10001",10001,ID00138,NEP
C973,R6571,T,20250214,3,172,0,10,10,Alejandro Gould,"48615 Craig Tunnel, New York, NY, 10001",10001,ID00138,NEP
C633,R2117,T,20250307,1,173,0,12,12,Catherine Elliott,"605 Jessica Lodge, Chicago, IL, 60601",60601,ID00066,CAR
C437,R9635,N,20250328,2,171,0,0,0,Erin Bautista,"17802 Morrison Club Suite 483, New York, NY, 10001",10001,ID00114,NEP
C515,R4281,T,20250213,3,173,0,23,23,Suzanne Barnett,"169 Carol Lights Apt. 195, New York, NY, 10001",10001,ID00078,CAR
C323,R2740,T,20250309,2,172,0,20,20,Bryan Johnson,"714 Watkins Unions Suite 059, Philadelphia, PA, 19103",19103,ID00137,END
C359,R6024,B,20250121,2,171,0,0,0,Stephen Smith,"295 Randolph Skyway, Philadelphia, PA, 19103",19103,ID00077,END
C949,R7484,B,20250313,2,171,14,30,44,John Villa,"71110 Garza Ridge Apt. 137, Los Angeles, CA, 90001",90001,ID00012,NEP
C354,R3583,T,20250407,1,172,0,17,17,Jeffrey Salazar,"8770 Thomas Wells Apt. 251, New York, NY, 10001",10001,ID00090,NEP
C571,R6827,N,20250111,1,171,0,0,0,James Steele,"0564 Katherine Tunnel Apt. 235, Atlanta, GA, 30301",30301,ID00097,END
C317,R6813,B,20250303,2,171,12,45,57,Emma Moore,"7136 Stephanie Drive, Philadelphia, PA, 19103",19103,ID00008,CAR
C663,R6319,T,20250424,2,172,0,29,29,John Garcia,"59147 Keith Drives, New York, NY, 10001",10001,ID00096,CAR
C786,R3002,B,20250315,3,171,18,40,58,Jillian Hall,"63505 Sheryl Mountains, Seattle, WA, 98101",98101,ID00015,CAR
C542,R5747,T,20250110,1,172,0,22,22,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C165,R8752,T,20250218,1,173,0,11,11,Tammy Rivera,"7813 Bradshaw Lane, Los Angeles, CA, 90001",90001,ID00084,NEP
C945,R2562,N,20250121,2,171,0,0,0,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP
C565,R7618,T,20250127,3,173,0,20,20,Suzanne Barnett,"169 Carol Lights Apt. 195, New York, NY, 10001",10001,ID00078,CAR
C366,R2006,T,20250402,3,172,0,27,27,Luis Lozano,"59703 David Ford Apt. 715, Los Angeles, CA, 90001",90001,ID00131,END
C174,R2153,T,20250112,1,172,0,18,18,Bryan Johnson,"714 Watkins Unions Suite 059, Philadelphia, PA, 19103",19103,ID00137,END
C966,R6992,B,20250108,1,171,13,42,55,Mariah Bailey,"1518 Austin Knoll, Philadelphia, PA, 19103",19103,ID00013,CAR
C972,R5819,T,20250219,1,173,0,27,27,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP
C298,R6206,T,20250111,2,172,0,13,13,Amy Ward,"777 Aaron Junctions, Philadelphia, PA, 19103",19103,ID00070,CAR
C747,R8175,T,20250302,1,173,0,27,27,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END
C271,R5523,N,20250209,1,171,0,0,0,Jeffrey Salazar,"8770 Thomas Wells Apt. 251, New York, NY, 10001",10001,ID00090,NEP
C508,R9221,T,20250201,1,173,0,20,20,Audrey Ruiz,"8055 Martha Curve Apt. 773, Philadelphia, PA, 19103",19103,ID00100,END
C652,R4721,T,20250207,2,173,0,20,20,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C911,R8905,T,20250401,2,172,0,15,15,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP
C828,R7271,T,20250320,2,173,0,28,28,Michelle Ross,"5963 Connor Spring, Houston, TX, 77001",77001,ID00127,NEP
C765,R5566,B,20250307,2,171,16,40,56,Dr. Cynthia Miller,"725 Mills Forge, Seattle, WA, 98101",98101,ID00020,NEP
C100,R6435,N,20250101,3,171,15,0,15,Jodi Griffith,"37360 Beth Coves Apt. 692, Seattle, WA, 98101",98101,ID00048,CAR
C164,R9856,T,20250302,2,173,0,28,28,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END
C341,R8944,T,20250201,3,172,0,22,22,Scott Johnson,"09995 Charles Plain, Philadelphia, PA, 19103",19103,ID00132,CAR
C860,R9715,T,20250204,3,173,0,17,17,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR
C685,R9043,N,20250111,1,171,14,0,14,Robert Hernandez,"450 Michael Heights Suite 689, Atlanta, GA, 30301",30301,ID00050,CAR
C504,R1897,B,20250325,2,171,10,37,47,John Campbell,"53474 Jeffrey Estates, Seattle, WA, 98101",98101,ID00016,END
C920,R1852,B,20250305,2,171,0,0,0,Stephen Smith,"295 Randolph Skyway, Philadelphia, PA, 19103",19103,ID00077,END
C105,R1116,T,20250220,2,172,0,19,19,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END
C578,R2240,T,20250131,2,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C562,R8485,N,20250306,1,171,0,0,0,Michael Brown,"87331 Julian Center Suite 186, Atlanta, GA, 30301",30301,ID00109,NEP
C461,R6653,B,20250216,1,171,0,0,0,Alan Wilson,"562 Steele Brooks, Philadelphia, PA, 19103",19103,ID00073,END
C890,R5767,T,20250214,2,171,0,0,0,Jonathan Joseph,"5976 Cabrera Orchard Suite 124, Chicago, IL, 60601",60601,ID00072,CAR
C513,R2148,T,20250301,2,171,0,0,0,Alejandro Gould,"48615 Craig Tunnel, New York, NY, 10001",10001,ID00138,NEP
C608,R9151,B,20250423,2,171,15,35,50,Dr. Cynthia Miller,"725 Mills Forge, Seattle, WA, 98101",98101,ID00020,NEP
C174,R2153,T,20250112,1,172,0,15,15,Bryan Johnson,"714 Watkins Unions Suite 059, Philadelphia, PA, 19103",19103,ID00137,END
C181,R7917,N,20250127,2,171,0,0,0,David Mccoy,"65524 Thomas Track, Chicago, IL, 60601",60601,ID00086,CAR
C383,R7995,T,20250321,2,171,0,0,0,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C686,R3502,T,20250221,1,172,0,19,19,Mrs. Kristin Rodriguez,"484 Caldwell Ways Apt. 822, New York, NY, 10001",10001,ID00105,NEP
C251,R3165,T,20250409,2,173,0,20,20,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C844,R8563,B,20250122,3,171,9,10,19,Amanda Thompson,"199 Angela Circles, New York, NY, 10001",10001,ID00035,NEP
C452,R5698,T,20241230,3,172,0,17,17,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C205,R7609,N,20250114,2,171,8,0,8,Cynthia French,"3991 Brennan Underpass, Philadelphia, PA, 19103",19103,ID00062,END
C527,R3880,B,20250403,3,171,5,12,17,Brian Webb,"98193 Donna Mill Suite 101, Los Angeles, CA, 90001",90001,ID00026,NEP
C371,R3170,B,20250108,3,171,13,46,59,Jill King,"9346 Eric Highway, Los Angeles, CA, 90001",90001,ID00004,NEP
C282,R5349,B,20250210,1,171,11,38,49,Lori Williams MD,"31525 Colin Knoll, Philadelphia, PA, 19103",19103,ID00005,END
C796,R8291,B,20250115,3,171,6,18,24,Edward Moore,"26617 Castillo Mission, Los Angeles, CA, 90001",90001,ID00040,END
C600,R5341,N,20250409,2,171,15,0,15,Kaitlyn Schwartz,"863 Stacy Spurs Suite 299, Atlanta, GA, 30301",30301,ID00051,CAR
C111,R7266,T,20250417,3,172,0,25,25,Katrina Torres,"4105 King Ridges Apt. 254, Seattle, WA, 98101",98101,ID00099,NEP
C540,R3937,B,20250101,3,171,10,20,30,Kristin Woods,"6290 Harrington Pass, Atlanta, GA, 30301",30301,ID00032,NEP
C948,R8532,B,20250112,2,171,15,50,65,Emma Moore,"7136 Stephanie Drive, Philadelphia, PA, 19103",19103,ID00008,CAR
C364,R7678,T,20250311,1,172,0,17,17,Dr. Joseph Hughes,"89401 Robert Run Apt. 512, Atlanta, GA, 30301",30301,ID00068,CAR
C526,R2974,N,20250212,2,171,0,0,0,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP
C165,R7797,B,20250128,2,171,12,36,48,Kristin Elliott,"294 Schroeder Garden Apt. 703, Houston, TX, 77001",77001,ID00006,END
C271,R4454,T,20250401,3,171,0,0,0,Sandra Mccoy,"96055 Megan Valley, Seattle, WA, 98101",98101,ID00133,CAR
C493,R6902,T,20250123,3,173,0,27,27,Michelle Peters,"68718 Rivera Motorway, Philadelphia, PA, 19103",19103,ID00128,END
C804,R9059,T,20250228,3,171,0,0,0,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C915,R1118,T,20250411,2,172,0,26,26,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END
C386,R1536,B,20250415,2,171,19,43,62,Mariah Bailey,"1518 Austin Knoll, Philadelphia, PA, 19103",19103,ID00013,CAR
C364,R5336,T,20250210,1,173,0,22,22,James Rhodes,"28272 Mary Lane, Houston, TX, 77001",77001,ID00136,CAR
C255,R9115,B,20250330,2,171,16,50,66,Mark Hunt,"050 Smith Land Apt. 308, Seattle, WA, 98101",98101,ID00011,END
