Client_Number,Report_Number,RX_Type,Data_Date,Category,Product_Group,Bucket01,Bucket24,Bucket25,Prescriber_Name,Prescriber_Address,Prescriber_ZIP,SRA1_IMS_Doctor#,SRA2_Specialty,Client_Data
C987,R8564,B,20250109,3,171,16,34,50,James Bradford,"48045 Natasha Vista Suite 907, Seattle, WA, 98101",98101,ID00007,END,High-Volume Loyalist
C987,R8496,N,20250328,2,171,0,0,0,Brianna Murray,"194 Maddox Mews, Houston, TX, 77001",77001,ID00108,END,Managed Care Restricted
C792,R3174,N,20250414,3,171,0,0,0,Mariah Tyler,"212 James Ports Apt. 357, Seattle, WA, 98101",98101,ID00120,CAR,Managed Care Restricted
C106,R7483,B,20250226,1,171,6,14,20,Daniel Smith,"404 Brenda Plains Suite 108, Atlanta, GA, 30301",30301,ID00034,END,Low-Volume Prescriber
C567,R3369,B,20250221,2,171,17,37,54,Mark Hunt,"050 Smith Land Apt. 308, Seattle, WA, 98101",98101,ID00011,END,High-Volume Loyalist
C572,R5161,B,20250303,3,171,12,37,49,John Villa,"71110 Garza Ridge Apt. 137, Los Angeles, CA, 90001",90001,ID00012,NEP,High-Volume Loyalist
C620,R2631,T,20250128,2,173,0,19,19,Mr. Scott Lopez,"99002 Vasquez Island Apt. 417, New York, NY, 10001",10001,ID00103,CAR,Unaware
C452,R5698,T,20241230,3,172,0,22,22,Brittany Christensen,"828 Brandon Square Apt. 201, Chicago, IL, 60601",60601,ID00085,END,Aware Non-Prescriber
C279,R2343,T,20250302,3,172,0,10,10,Bonnie Davis,"5907 Angela Valley, New York, NY, 10001",10001,ID00071,END,Aware Non-Prescriber
C632,R1117,T,20250313,3,171,0,0,0,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END,Aware Non-Prescriber
C107,R9161,T,20250222,3,173,0,28,28,Renee Montoya,"42137 Susan Groves Suite 215, Houston, TX, 77001",77001,ID00129,NEP,Competitor Loyalist
C736,R2638,B,20250427,1,171,10,44,54,Jill King,"9346 Eric Highway, Los Angeles, CA, 90001",90001,ID00004,NEP,High-Volume Loyalist
C568,R2029,B,20250129,2,171,20,49,69,Paul Nelson PhD,"47328 Nancy Ville Suite 584, Atlanta, GA, 30301",30301,ID00019,END,High-Volume Loyalist
C941,R7471,N,20250427,3,171,14,0,14,Ariana Bailey,"84002 Phillips Camp, Chicago, IL, 60601",60601,ID00046,END,New Adopter
C356,R1423,B,20250422,2,171,15,49,64,Thomas Rhodes,"890 Dylan Trail, Atlanta, GA, 30301",30301,ID00010,NEP,High-Volume Loyalist
C105,R1116,T,20250220,2,172,0,27,27,Tammy Rose,"86335 Lawson Ranch Apt. 743, Los Angeles, CA, 90001",90001,ID00076,END,Aware Non-Prescriber
C755,R9791,B,20250222,3,171,8,11,19,Christopher Gamble,"53267 Kathleen Extension, Chicago, IL, 60601",60601,ID00042,CAR,Low-Volume Prescriber
C423,R1137,B,20250226,1,171,0,0,0,Reginald Baker,"502 John Extension, Houston, TX, 77001",77001,ID00081,NEP,Aware Non-Prescriber
C861,R7814,T,20250214,3,172,0,30,30,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP,Unaware
C579,R1994,T,20250427,1,172,0,24,24,Lisa Guerrero,"897 Amanda Circles, Houston, TX, 77001",77001,ID00094,NEP,Unaware
C765,R2162,N,20250209,3,171,0,0,0,Alexandra Clark,"7622 Johnson Greens, Houston, TX, 77001",77001,ID00124,END,Managed Care Restricted
C570,R9734,B,20250307,2,171,7,12,19,Nicholas Kelley,"579 Scott Squares, Los Angeles, CA, 90001",90001,ID00025,END,Low-Volume Prescriber
C490,R2857,B,20250104,3,171,0,0,0,Dean Dunn,"68691 Candace Center, Los Angeles, CA, 90001",90001,ID00067,NEP,Aware Non-Prescriber
C945,R2562,N,20250121,2,171,0,0,0,Karen Moore,"1184 Rachel Mountains Apt. 047, Philadelphia, PA, 19103",19103,ID00098,NEP,Unaware
C683,R3931,N,20250324,1,171,0,0,0,Cynthia Graves,"1646 Samuel Crescent Suite 809, New York, NY, 10001",10001,ID00095,NEP,Unaware
C645,R5605,B,20250412,1,171,9,15,24,Brian Roberts,"4298 Lowery Garden Suite 160, Los Angeles, CA, 90001",90001,ID00039,CAR,Low-Volume Prescriber
C723,R3803,B,20250329,3,171,20,32,52,Michelle Elliott,"8851 Kevin Cliff, Atlanta, GA, 30301",30301,ID00001,CAR,High-Volume Loyalist
C432,R9363,T,20250121,2,172,0,19,19,James Warner,"222 Joseph Land Apt. 785, New York, NY, 10001",10001,ID00083,END,Aware Non-Prescriber
C867,R4961,T,20250227,3,173,0,14,14,Devin Watkins,"915 Alejandro Dam Suite 837, Seattle, WA, 98101",98101,ID00134,CAR,Competitor Loyalist
C837,R4907,T,20250123,1,173,0,27,27,Tina Reed,"19172 Miller Vista, Philadelphia, PA, 19103",19103,ID00139,END,Competitor Loyalist
C234,R4387,N,20250225,3,171,0,0,0,Mrs. Kristin Rodriguez,"484 Caldwell Ways Apt. 822, New York, NY, 10001",10001,ID00105,NEP,Unaware
C249,R5000,B,20250205,2,171,15,43,58,John Villa,"71110 Garza Ridge Apt. 137, Los Angeles, CA, 90001",90001,ID00012,NEP,High-Volume Loyalist
C244,R1301,N,20250319,3,171,0,0,0,John Thomas,"03583 Duncan Walk Apt. 643, Seattle, WA, 98101",98101,ID00102,CAR,Unaware
C397,R2103,T,20250227,3,172,0,30,30,Amy Ward,"777 Aaron Junctions, Philadelphia, PA, 19103",19103,ID00070,CAR,Aware Non-Prescriber
C415,R9148,B,20250303,3,171,8,17,25,Dr. Ann Richards,"943 Valdez Haven, Chicago, IL, 60601",60601,ID00023,NEP,Low-Volume Prescriber
C173,R1977,B,20250322,1,171,14,34,48,Thomas Rhodes,"890 Dylan Trail, Atlanta, GA, 30301",30301,ID00010,NEP,High-Volume Loyalist
